onscode,unemployment
E08000020,0.050101635
E08000021,0.050041341
E08000022,0.049388393
E08000023,0.065561887
E08000024,0.058457227
E07000026,0.035968892
E07000027,0.046279083
E07000028,0.035797362
E07000029,0.042408258
E07000030,0.021221118
E07000031,0.020097322
E08000001,0.049386468
E08000002,0.042832642
E08000003,0.057138082
E08000004,0.054210872
E08000005,0.059230598
E08000006,0.052224796
E08000007,0.038975208
E08000008,0.049870246
E08000009,0.037689029
E08000010,0.048554938
E07000117,0.052732896
E07000118,0.032369827
E07000119,0.030929158
E07000120,0.046062102
E07000121,0.032547243
E07000122,0.046741155
E07000123,0.04395446
E07000124,0.020637035
E07000125,0.041737394
E07000126,0.030090233
E07000127,0.038970111
E07000128,0.03172682
E08000011,0.065244218
E08000012,0.067194208
E08000014,0.048981569
E08000013,0.051240894
E08000015,0.051717341
E07000163,0.025039944
E07000164,0.025591909
E07000165,0.025701959
E07000166,0.028873021
E07000167,0.027380857
E07000168,0.042459663
E07000169,0.034836894
E08000016,0.051277838
E08000017,0.057484482
E08000018,0.052250757
E08000019,0.04775136
E08000032,0.05795471
E08000033,0.049702217
E08000034,0.047087508
E08000035,0.047759736
E08000036,0.048556621
E07000032,0.038682391
E07000033,0.046688712
E07000034,0.046552108
E07000035,0.026819039
E07000036,0.045297728
E07000037,0.038225823
E07000038,0.036713858
E07000039,0.030597552
E07000129,0.028632691
E07000130,0.030920163
E07000131,0.024502124
E07000132,0.031499305
E07000133,0.028872954
E07000134,0.034438999
E07000135,0.032208251
E07000136,0.041622627
E07000137,0.039688576
E07000138,0.049359431
E07000139,0.02912893
E07000140,0.039612015
E07000141,0.033374778
E07000142,0.038104103
E07000150,0.049324069
E07000151,0.030167831
E07000152,0.033901533
E07000153,0.0401649
E07000154,0.046395858
E07000155,0.02368383
E07000156,0.046737326
E07000170,0.047025682
E07000171,0.039541444
E07000172,0.038689272
E07000173,0.040716104
E07000174,0.045972393
E07000175,0.035593321
E07000176,0.027515324
E07000192,0.045811772
E07000193,0.038177681
E07000194,0.033856361
E07000195,0.036584177
E07000196,0.033078124
E07000197,0.031121206
E07000198,0.028175071
E07000199,0.04470994
E07000218,0.035997401
E07000219,0.047377565
E07000220,0.035913083
E07000221,0.024553164
E07000222,0.03030627
E08000025,0.07117903
E08000026,0.054047294
E08000027,0.053209601
E08000028,0.073113508
E08000029,0.042491238
E08000030,0.067748758
E08000031,0.078490746
E07000234,0.030527822
E07000235,0.031581701
E07000236,0.046015066
E07000237,0.0418495
E07000238,0.031293504
E07000239,0.042042831
E07000008,0.026871382
E07000009,0.028774253
E07000010,0.042320021
E07000011,0.031568618
E07000012,0.023186335
E07000066,0.046472435
E07000067,0.037613149
E07000068,0.03147718
E07000069,0.035419181
E07000070,0.034140978
E07000071,0.03466032
E07000072,0.03596257
E07000073,0.051867255
E07000074,0.030414483
E07000075,0.030384775
E07000076,0.046707883
E07000077,0.026749115
E07000095,0.041790559
E07000096,0.036672732
E07000097,0.028463529
E07000098,0.037057236
E07000099,0.034367829
E07000100,0.027187247
E07000101,0.047960254
E07000102,0.031774504
E07000103,0.040612507
E07000104,0.032963663
E07000143,0.035062012
E07000144,0.025624273
E07000145,0.060625908
E07000146,0.036597837
E07000147,0.033180131
E07000148,0.050247264
E07000149,0.027301118
E07000200,0.029789933
E07000201,0.032052301
E07000202,0.05363961
E07000203,0.025530518
E07000204,0.030419425
E07000205,0.027127479
E07000206,0.045482858
E09000007,0.044611783
E09000001,0.029649596
E09000012,0.070466271
E09000013,0.048505002
E09000014,0.060757684
E09000019,0.054254037
E09000020,0.043091688
E09000022,0.059962983
E09000023,0.061942741
E09000025,0.068720027
E09000028,0.060048719
E09000030,0.067457975
E09000032,0.038233012
E09000033,0.045246574
E09000002,0.073427505
E09000003,0.044404375
E09000004,0.043667201
E09000005,0.057909689
E09000006,0.038950476
E09000008,0.055168638
E09000009,0.052056464
E09000010,0.058886548
E09000011,0.061685286
E09000015,0.044943949
E09000016,0.044568978
E09000017,0.043481088
E09000018,0.046356432
E09000021,0.032170999
E09000024,0.040588778
E09000026,0.053071002
E09000027,0.030142475
E09000029,0.039139211
E09000031,0.061022736
E07000004,0.030527063
E07000005,0.02656704
E07000006,0.026505167
E07000007,0.032394434
E07000061,0.040781576
E07000062,0.054833727
E07000063,0.033478179
E07000064,0.032118484
E07000065,0.025217465
E07000084,0.03244809
E07000085,0.025538182
E07000086,0.03022428
E07000087,0.026072071
E07000088,0.042353653
E07000089,0.023756563
E07000090,0.039931824
E07000091,0.026346576
E07000092,0.037227933
E07000093,0.025197278
E07000094,0.022995444
E07000105,0.036295874
E07000106,0.030482627
E07000107,0.04396493
E07000108,0.044648825
E07000109,0.050743944
E07000110,0.033983626
E07000111,0.028405077
E07000112,0.045882625
E07000113,0.046021074
E07000114,0.056727227
E07000115,0.029849019
E07000116,0.029505679
E07000177,0.028430604
E07000178,0.032093011
E07000179,0.025244602
E07000180,0.025035152
E07000181,0.022714441
E07000207,0.026698686
E07000208,0.027321396
E07000209,0.026946519
E07000210,0.025157129
E07000211,0.029161163
E07000212,0.027260716
E07000213,0.032567653
E07000214,0.027667226
E07000215,0.027667054
E07000216,0.024154082
E07000217,0.032249519
E07000223,0.033424533
E07000224,0.033355017
E07000225,0.027974876
E07000226,0.045120753
E07000227,0.027110414
E07000228,0.024288792
E07000229,0.034679437
E07000040,0.024465952
E07000041,0.030588314
E07000042,0.027091876
E07000043,0.030396848
E07000044,0.023458766
E07000045,0.027684948
E07000046,0.034100194
E07000047,0.03073881
E07000048,0.03084699
E07000049,0.021442495
E07000050,0.026475376
E07000051,0.027764909
E07000052,0.022967922
E07000053,0.038729084
E07000078,0.033430131
E07000079,0.024818976
E07000080,0.034537048
E07000081,0.042623283
E07000082,0.028137392
E07000083,0.028181285
E07000187,0.029204226
E07000188,0.035849125
E07000189,0.027377148
E07000190,0.028167408
E07000191,0.027610563
W06000001,0.046853477
W06000002,0.035720311
W06000003,0.041047054
W06000004,0.042215852
W06000005,0.038566659
W06000006,0.041827522
W06000023,0.030478094
W06000008,0.025590105
W06000009,0.040375246
W06000010,0.037327917
W06000011,0.038599545
W06000012,0.044957567
W06000013,0.045591168
W06000014,0.043086172
W06000015,0.044438809
W06000016,0.047103408
W06000024,0.05719621
W06000018,0.051401298
W06000019,0.068656025
W06000020,0.047846673
W06000021,0.033536539
W06000022,0.053413987
